variant,family,teacher_replay,old_mix,old_answer,new_answer,balanced_mean,balanced_geom,text_loss,interpretation
full_pipeline,base_only,60/60,200/200,1.000,1.000,1.000,1.000,4.767,replay-heavy positive control
no_teacher_replay,base_only,0/0,200/200,1.000,1.000,1.000,1.000,4.886,teacher-stage replay unnecessary but consolidation old signal remains
no_consolidation_old,base_only,60/60,0/0,0.000,1.000,0.500,0.000,5.299,old skill collapses without consolidation old signal
no_replay_anywhere,base_only,0/0,0/0,0.000,1.000,0.500,0.000,5.673,no preservation signal collapses old skill
nl_proj_only,base_nonlinear_amoeba,0/0,0/0,0.375,1.000,0.688,0.612,5.726,projection alone is insufficient
nl_dual10,base_nonlinear_amoeba,0/0,0/0,1.000,1.000,1.000,1.000,4.243,old-task-example-free success using proxy dual anchoring
nl_thmatch10,base_nonlinear_amoeba,0/0,0/0,0.750,1.000,0.875,0.866,5.993,hidden-state matching alone helps but hurts text loss
nl_th10_d10,base_nonlinear_amoeba,0/0,0/0,0.979,0.938,0.958,0.958,4.247,hidden-state plus dual anchoring is strong but not best on this seed
nl_th10_d10_no_proj,base_nonlinear_amoeba,0/0,0/0,0.188,1.000,0.594,0.433,4.224,no-projection ablation fails old retention
nl_th10_d10_no_text,base_nonlinear_amoeba,0/0,0/0,0.688,1.000,0.844,0.829,5.750,no-text ablation keeps some old skill but damages text loss
nl_tkl04_th30_no_proxy,base_nonlinear_amoeba,0/0,0/0,0.938,1.000,0.969,0.968,5.746,no generic proxy; task KL plus task hidden match nearly perfect skills
nl_tkl05_th30_no_proxy,base_nonlinear_amoeba,0/0,0/0,0.958,1.000,0.979,0.979,5.664,no generic proxy; stronger old retention
nl_tkl07_th30_no_proxy,base_nonlinear_amoeba,0/0,0/0,1.000,1.000,1.000,1.000,5.591,no old examples and no generic proxy; perfect skill coexistence on this seed
nl_tkl10_th30_no_proxy,base_nonlinear_amoeba,0/0,0/0,1.000,0.854,0.927,0.924,5.491,no generic proxy; too much task KL starts hurting new skill
nl_tkl15_th30_no_proxy,base_nonlinear_amoeba,0/0,0/0,1.000,0.500,0.750,0.707,5.349,no generic proxy; over-anchoring protects old but blocks new skill
